bai1, phat
G6, eighthN
C6, eighthN
D#6, eighthN
G6, eighthN
C6, eighthN
D#6, eighthN
G6, eighthN
C6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
D#6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D#6, eighthN
D6, eighthN
C6, eighthN
D6, eighthN
D#6, eighthN
D6, eighthN
D#6, eighthN
F6, eighthN
D#6, eighthN
G#5, eighthN
C6, eighthN
D#6, eighthN
G#5, eighthN
C6, eighthN
D#6, eighthN
G#5, eighthN
D#6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
F6, eighthN
A#5, eighthN
D#6, eighthN
F6, eighthN
A#5, eighthN
D#6, eighthN
F6, eighthN
D#6, eighthN
G6, eighthN
A#5, eighthN
F6, eighthN
A#5, eighthN
D#6, eighthN
A#5, eighthN
D6, eighthN
A#5, eighthN
G6, eighthN
C6, eighthN
D#6, eighthN
G6, eighthN
C6, eighthN
D#6, eighthN
G6, eighthN
C6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
D#6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D#6, eighthN
D6, eighthN
C6, eighthN
D6, eighthN
D#6, eighthN
D6, eighthN
D#6, eighthN
F6, eighthN
D#6, eighthN
G#5, eighthN
C6, eighthN
D#6, eighthN
G#5, eighthN
C6, eighthN
D#6, eighthN
G#5, eighthN
D#6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D6, eighthN
F6, eighthN
A#5, eighthN
D#6, qtrN
G5, eighthN
D6, qtrN
G5, eighthN
C6, halfN
