bai1, phat
E6, eighthN
D#6, eighthN
E6, eighthN
D#6, eighthN
E6, eighthN
B5, eighthN
D6, eighthN
C6, eighthN
A5, qtrN
C5, eighthN
E5, eighthN
A5, eighthN
B5, qtrN
E5, eighthN
G#5, eighthN
B5, eighthN
C6, qtrN
E5, eighthN
E6, eighthN
D#6, eighthN
E6, eighthN
D#6, eighthN
E6, eighthN
B5, eighthN
D6, eighthN
C6, eighthN
A5, qtrN
C5, eighthN
E5, eighthN
A5, eighthN
B5, qtrN
D5, eighthN
C6, eighthN
B5, eighthN
A5, halfN
B5, eighthN
C6, eighthN
D6, eighthN
E6, qtrN
G5, eighthN
F6, eighthN
E6, eighthN
D6, qtrN
F5, eighthN
E6, eighthN
D6, eighthN
C6, qtrN
E5, eighthN
D6, eighthN
C6, eighthN
B5, halfN
