bai1, phat
G6, halfN
A6, qtrN
G6, eighthN
A6, eighthN
G6, eighthN
A6, eighthN
G6, eighthN
E6, eighthN
D6, halfN
D6, eighthN
E6, eighthN
G6, qtrN
D6, qtrN
D6, eighthN
E6, eighthN
D6, eighthN
E6, eighthN
D6, eighthN
C6, eighthN
A5, halfN
E6, qtrN
G6, qtrN
A6, qtrN
G6, eighthN
A6, eighthN
E6, qtrN
C7, qtrN
B6, qtrN
C7, eighthN
B6, qtrN
A6, qtrN
G6, qtrN
E6, halfN
D6, qtrN
E6, halfN
G6, halfN
A6, qtrN
G6, eighthN
A6, eighthN
G6, eighthN
A6, eighthN
G6, eighthN
E6, eighthN
D6, halfN
D6, eighthN
E6, eighthN
G6, qtrN
D6, qtrN
D6, eighthN
E6, eighthN
D6, eighthN
E6, eighthN
D6, eighthN
C6, eighthN
A5, halfN
E6, qtrN
G6, qtrN
A6, qtrN
G6, eighthN
A6, eighthN
G6, qtrN
E6, qtrN
D6, qtrN
E6, eighthN
D6, eighthN
C6, qtrN
G5, qtrN
A5, wholeN
