bai2, phat2
G5, qtrN
F5, eighthN
E5, eighthN
G5, eighthN
C6, eighthN
D6, eighthN
E6, halfN
C6, halfN
A5, qtrN
B5, eighthN
C6, eighthN
B5, eighthN
C6, eighthN
A5, eighthN
G5, halfN
E5, halfN
G5, qtrN
G5, qtrN
F5, eighthN
E5, eighthN
G5, eighthN
C6, eighthN
D6, eighthN
E6, halfN
C6, qtrN
C6, qtrN
D6, qtrN
D6, qtrN
C6, qtrN
B5, qtrN
C6, qtrN
C6, qtrN
C6, qtrN
P, eighthN
G5, eighthN
G5, qtrN
G5, qtrN
F5, thirtyTwoN
E5, qtrN
G5, thirtyTwoN
C6, qtrN
D6, thirtyTwoN
E6, qtrN
E6, qtrN
D6, thirtyTwoN
C6, qtrN
C6, qtrN
B5, qtrN
A5, qtrN
A5, qtrN
B5, thirtyTwoN
C6, qtrN
B5, thirtyTwoN
C6, qtrN
A5, thirtyTwoN
G5, qtrN
A5, thirtyTwoN
G5, qtrN
E5, thirtyTwoN
C6, qtrN
B5, qtrN
P, qtrN
G5, thirtyTwoN
G5, qtrN
G5, qtrN
F5, thirtyTwoN
E5, qtrN
G5, thirtyTwoN
C6, qtrN
D6, thirtyTwoN
E6, qtrN
E6, qtrN
D6, thirtyTwoN
C6, qtrN
B5, qtrN
D6, qtrN
F6, qtrN
E6, qtrN
D6, qtrN
C6, halfN
G5, qtrN
E5, qtrN
D5, qtrN
G5, qtrN
C6, qtrN
D6, qtrN
E6, halfN
C6, halfN
A5, qtrN
B5, eighthN
C6, eighthN
B5, eighthN
C6, eighthN
A5, eighthN
G5, halfN
E5, halfN
G5, qtrN
F5, eighthN
E5, eighthN
G5, eighthN
C6, eighthN
D6, eighthN
E6, halfN
C6, qtrN
C6, qtrN
D6, qtrN
D6, qtrN
C6, qtrN
B5, qtrN
C6, halfN


