bai1, phat
B4, sixN
B5, qtrN
A5, twelveN
G#5, halfN
F#4, qtrN
B3, twelveN
E5, twelveN
F#4, sixN
A5, qtrN
G#5, twelveN
E5, qtrN
E5, twelveN
A5, qtrN
G#5, twelveN
A4, sixN
E5, sixN
E5, twelveN
C#4, twelveN
F#5, sixN
G#5, halfN
F#4, qtrN
B3, twelveN
E5, twelveN
F#4, sixN
F#5, sixN
G#5, sixN
E5, eighthN
B4, halfN
E5, sixN
C#5, sixN
B4, sixN
E5, qtrN
A5, twelveN
G#5, halfN
F#4, qtrN
B5, twelveN
B5, eighthN
B5, twelveN
B5, twelveN
C#6, sixN
E6, eighthN
E6, sixteenN
E6, wholeN
A5, twelveN
A5, twelveN
A5, twelveN
A5, twelveN
B5, eighthN
B5, twelveN
E5, sixN
G#5, halfN
F#4, qtrN
B3, eighthN
E5, twelveN
F#4, sixN
F#5, sixN
G#5, sixN
E5, twelveN
B4, halfN
E5, sixN
C#5, qtrN
C#5, qtrN
A5, sixN
E6, halfN
G#4, twelveN
C#5, qtrN
C#5, twelveN
F#5, twelveN
G#5, sixN
G#5, twelveN
C#5, qtrN
C#5, twelveN
F#5, twelveN
G#5, sixN
G#5, twelveN
F#5, sixN
F#5, twelveN
E5, twelveN
F#5, qtrN
E5, twelveN
B3, halfN
G#3, sixN
B3, twelveN
G#4, twelveN
C#5, qtrN
C#5, twelveN
F#5, twelveN
G#5, sixN
G#5, twelveN
C#5, qtrN
C#5, twelveN
C#5, twelveN
G#5, sixN
G#5, twelveN
F#5, sixN
F#5, twelveN
E5, twelveN
F#5, sixN
G#5, sixN
A5, halfN
C#6, sixN
E6, twelveN
G#4, halfN
G#4, twelveN
E6, sixN
E6, sixN
C#6, twelveN
B5, sixN
E5, twelveN
G#4, twelveN
B4, twelveN
C#6, sixN
B5, twelveN
A5, sixN
E5, twelveN
C#6, twelveN
C#5, twelveN
B5, twelveN
B5, twelveN
G#5, twelveN
G#5, sixN
B3, qtrN
F#4, qtrN
F#4, eighthN
F#5, twelveN
G#5, twelveN
F#4, sixN
C#5, halfN
C#5, twelveN
G#4, eighthN
E5, sixN
G#4, halfN
E5, twelveN
F#5, sixN
C#4, halfN
C#5, twelveN
G#4, qtrN
E6, qtrN
C#5, sixN
G#4, twelveN
E6, sixN
E6, sixN
C#6, twelveN
B4, sixN
E5, twelveN
G#4, twelveN
B4, twelveN
C#6, sixN
B5, twelveN
C#5, sixN
E5, twelveN
E5, twelveN
C#5, twelveN
B5, sixN
G#5, twelveN
G#5, sixN
B3, twelveN
