bai2, phat2
pitch_G5, qtrN
pitch_F5, eighthN
pitch_E5, eighthN
pitch_G5, eighthN
pitch_C6, eighthN
pitch_D6, eighthN
pitch_E6, halfN
pitch_C6, halfN
pitch_A5, qtrN
pitch_B5, eighthN
pitch_C6, eighthN
pitch_B5, eighthN
pitch_C6, eighthN
pitch_A5, eighthN
pitch_G5, halfN
pitch_E5, halfN
pitch_G5, qtrN
pitch_G5, qtrN
pitch_F5, eighthN
pitch_E5, eighthN
pitch_G5, eighthN
pitch_C6, eighthN
pitch_D6, eighthN
pitch_E6, halfN
pitch_C6, qtrN
pitch_C6, qtrN
pitch_D6, qtrN
pitch_D6, qtrN
pitch_C6, qtrN
pitch_B5, qtrN
pitch_C6, qtrN
pitch_C6, qtrN
pitch_C6, qtrN
pitch_P, eighthN
pitch_G5, eighthN
pitch_G5, qtrN
pitch_G5, qtrN
pitch_F5, thirtyTwoN
pitch_E5, qtrN
pitch_G5, thirtyTwoN
pitch_C6, qtrN
pitch_D6, thirtyTwoN
pitch_E6, qtrN
pitch_E6, qtrN
pitch_D6, thirtyTwoN
pitch_C6, qtrN
pitch_C6, qtrN
pitch_B5, qtrN
pitch_A5, qtrN
pitch_A5, qtrN
pitch_B5, thirtyTwoN
pitch_C6, qtrN
pitch_B5, thirtyTwoN
pitch_C6, qtrN
pitch_A5, thirtyTwoN
pitch_G5, qtrN
pitch_A5, thirtyTwoN
pitch_G5, qtrN
pitch_E5, thirtyTwoN
pitch_C6, qtrN
pitch_B5, qtrN
pitch_P, qtrN
pitch_G5, thirtyTwoN
pitch_G5, qtrN
pitch_G5, qtrN
pitch_F5, thirtyTwoN
pitch_E5, qtrN
pitch_G5, thirtyTwoN
pitch_C6, qtrN
pitch_D6, thirtyTwoN
pitch_E6, qtrN
pitch_E6, qtrN
pitch_D6, thirtyTwoN
pitch_C6, qtrN
pitch_B5, qtrN
pitch_D6, qtrN
pitch_F6, qtrN
pitch_E6, qtrN
pitch_D6, qtrN
pitch_C6, halfN
pitch_G5, qtrN
pitch_E5, qtrN
pitch_D5, qtrN
pitch_G5, qtrN
pitch_C6, qtrN
pitch_D6, qtrN
pitch_E6, halfN
pitch_C6, halfN
pitch_A5, qtrN
pitch_B5, eighthN
pitch_C6, eighthN
pitch_B5, eighthN
pitch_C6, eighthN
pitch_A5, eighthN
pitch_G5, halfN
pitch_E5, halfN
pitch_G5, qtrN
pitch_F5, eighthN
pitch_E5, eighthN
pitch_G5, eighthN
pitch_C6, eighthN
pitch_D6, eighthN
pitch_E6, halfN
pitch_C6, qtrN
pitch_C6, qtrN
pitch_D6, qtrN
pitch_D6, qtrN
pitch_C6, qtrN
pitch_B5, qtrN
pitch_C6, halfN
FF, FF
