bai1, phat
G4, eighthN
C5, eighthN
D5, eighthN
D5, qtrN
E5, sixN
E5, qtrN
D4, qtrN
E4, halfN
C5, eighthN
D5, eighthN
D5, eighthN
D5, qtrN
G5, qtrN
G5, qtrN
G3, qtrN
B3, halfN
G5, eighthN
G5, eighthN
B5, eighthN
B5, qtrN
C6, qtrN
C6, qtrN
B3, qtrN
C4, sixN
D6, qtrN
E6, qtrN
D6, eighthN
C6, eighthN
B5, qtrN
E3, qtrN
E3, qtrN
G4, qtrN
B3, qtrN
C6, qtrN
B5, sixN
G5, qtrN
G5, qtrN
A5, qtrN
F3, qtrN
F4, qtrN
A4, halfN
G5, eighthN
F5, eighthN
F5, qtrN
G5, qtrN
G5, qtrN
G4, qtrN
B3, halfN
C5, qtrN
D5, qtrN
E5, qtrN
F5, qtrN
F5, qtrN
E4, qtrN
F4, halfN
G5, qtrN
F5, qtrN
E5, qtrN
D3, sixN
D3, qtrN
D3, qtrN
D5, qtrN
G4, sixN
C5, qtrN
D5, qtrN
D5, qtrN
E5, qtrN
E5, qtrN
G4, qtrN
E4, halfN
C4, eighthN
C5, eighthN
D5, eighthN
D5, eighthN
D5, qtrN
G5, qtrN
G5, qtrN
B3, qtrN
G4, halfN
E4, eighthN
G5, eighthN
G5, eighthN
B5, eighthN
B5, qtrN
C6, qtrN
C6, qtrN
E3, qtrN
C4, qtrN
D6, sixN
E6, qtrN
D6, eighthN
C6, eighthN
B5, qtrN
B3, qtrN
E4, qtrN
B3, qtrN
G4, sixN
C6, qtrN
E4, qtrN
G5, qtrN
G5, qtrN
A5, qtrN
F4, qtrN
F4, sixN
A4, halfN
F4, sixN
G5, eighthN
F5, eighthN
F5, qtrN
G5, qtrN
G5, qtrN
B3, qtrN
G4, halfN
C5, qtrN
D5, qtrN
E5, qtrN
F5, qtrN
D4, qtrN
A4, qtrN
C5, qtrN
D3, qtrN
B4, halfN
C5, qtrN
G4, qtrN
C4, qtrN
D4, qtrN
E4, qtrN
C5, qtrN
E5, sixN
G5, qtrN
C5, qtrN
G4, sixN
F4, qtrN
C5, qtrN
C4, qtrN
B4, qtrN
C5, sixN
A3, qtrN
G5, qtrN
E3, sixN
E3, qtrN
C5, qtrN
C5, qtrN
B4, qtrN
C5, qtrN
G5, sixN
G5, qtrN
F5, qtrN
F5, qtrN
E5, qtrN
E5, qtrN
D5, qtrN
D5, qtrN
C5, sixN
D5, qtrN
E5, qtrN
C4, qtrN
D4, qtrN
E4, qtrN
C5, qtrN
E5, qtrN
G5, sixN
C5, qtrN
G4, qtrN
F4, sixN
C5, qtrN
B4, qtrN
B5, qtrN
D3, qtrN
D3, sixN
G5, qtrN
F#4, qtrN
E4, sixN
E5, eighthN
F5, eighthN
G5, qtrN
C5, qtrN
F5, qtrN
E5, qtrN
F5, sixN
D3, qtrN
G5, qtrN
F4, qtrN
F3, qtrN
F3, qtrN
B5, qtrN
C6, qtrN
E6, qtrN
D3, qtrN
G4, sixN
D3, qtrN
D6, qtrN
G4, qtrN
C5, qtrN
D5, sixN
D5, qtrN
E5, qtrN
C4, qtrN
C4, qtrN
E4, halfN
C4, eighthN
C5, eighthN
D5, eighthN
E5, twelveN
D5, qtrN
G5, qtrN
G5, qtrN
B3, qtrN
G4, halfN
E4, eighthN
G5, eighthN
G5, twelveN
B5, eighthN
B5, qtrN
E3, qtrN
C6, sixN
E4, qtrN
C4, qtrN
D6, qtrN
E6, qtrN
D6, eighthN
C6, eighthN
E3, sixN
B3, qtrN
E4, qtrN
B3, qtrN
G4, qtrN
C6, qtrN
E4, qtrN
G5, sixN
G5, qtrN
E3, qtrN
F4, qtrN
F4, sixN
A4, halfN
F3, qtrN
G5, eighthN
F5, eighthN
F5, sixN
G5, qtrN
G5, qtrN
B3, qtrN
G4, halfN
C5, qtrN
D5, sixN
E5, qtrN
F5, qtrN
D4, sixN
A4, qtrN
C5, qtrN
D3, qtrN
B4, halfN
C5, qtrN
G4, sixN
C4, qtrN
D4, qtrN
E4, halfN
C6, wholeN
